COMMAND     PID  USER   FD      TYPE             DEVICE SIZE/OFF    NODE NAME
dbus-daem 17673 sedna  mem       REG                8,1   149120  524572 /lib/x86_64-linux-gnu/ld-2.19.so
dbus-daem 17673 sedna    0u      CHR                1,3      0t0    6447 /dev/null
dbus-daem 17673 sedna    1u      CHR                1,3      0t0    6447 /dev/null
dbus-daem 17673 sedna    2u      CHR                1,3      0t0    6447 /dev/null
dbus-daem 17673 sedna    3u     0000                0,9        0    6402 anon_inode
dbus-daem 17673 sedna    4u     unix 0x0000000000000000      0t0   40116 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna    5r     0000                0,9        0    6402 anon_inode
dbus-daem 17673 sedna    6u     unix 0x0000000000000000      0t0   40120 socket
dbus-daem 17673 sedna    7u     unix 0x0000000000000000      0t0   40121 socket
dbus-daem 17673 sedna    8u     unix 0x0000000000000000      0t0   40143 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna    9u     unix 0x0000000000000000      0t0   40215 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   10u     unix 0x0000000000000000      0t0   40151 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   11u     unix 0x0000000000000000      0t0   40217 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   12u     unix 0x0000000000000000      0t0   40225 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   13u     unix 0x0000000000000000      0t0   40240 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   14u     unix 0x0000000000000000      0t0   40273 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   15u     unix 0x0000000000000000      0t0   40252 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   16u     unix 0x0000000000000000      0t0   40421 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   17u     unix 0x0000000000000000      0t0   40298 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   18u     unix 0x0000000000000000      0t0   40425 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   19u     unix 0x0000000000000000      0t0   40301 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   20u     unix 0x0000000000000000      0t0   40302 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   21u     unix 0x0000000000000000      0t0   40338 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   22u     unix 0x0000000000000000      0t0   40432 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   23u     unix 0x0000000000000000      0t0   40455 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   24u     unix 0x0000000000000000      0t0   40516 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   25u     unix 0x0000000000000000      0t0   40535 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   26u     unix 0x0000000000000000      0t0   40675 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   27u     unix 0x0000000000000000      0t0   40793 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   28u     unix 0x0000000000000000      0t0   40756 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   29u     unix 0x0000000000000000      0t0   40767 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   30u     unix 0x0000000000000000      0t0   40776 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   31u     unix 0x0000000000000000      0t0   40787 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   32u     unix 0x0000000000000000      0t0   40894 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   33u     unix 0x0000000000000000      0t0   40896 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   34u     unix 0x0000000000000000      0t0   41416 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   35u     unix 0x0000000000000000      0t0   40956 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   36u     unix 0x0000000000000000      0t0   41492 @/tmp/dbus-67cuLcIM3m
dbus-daem 17673 sedna   37u     unix 0x0000000000000000      0t0   41432 @/tmp/dbus-67cuLcIM3m
